id_fonte,nome,instituicao,url,data_acesso,formato,tamanho_bytes,sha256,licenca,autorizacao_fonte,pode_publicar,observacoes
ibge_malhas_municipais,Malhas Territoriais — malhas municipais (RS_Municipios_2025.zip),IBGE,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_municipais/municipio_2025/UFs/RS/RS_Municipios_2025.zip,2026-09-20,zip,10139778,d70d47ccd1c2722e78a6dcc7fa4a00715679684785aa137ed2bf11999de28513,dados abertos (uso livre com citação da fonte),true,true,"[tema: territorio | resolução/escala: municipal (1:250.000) | período: edição 2025 (Last-Modified 2026-02-26) | script: scripts/download/vetor_ibge.py] Baixado navegando as listagens do geoftp a partir de organizacao_do_territorio/ — nenhuma URL montada por adivinhação. O arquivo é a UF inteira (RS); o recorte por CD_MUN=4301602 é feito no próprio script. Traz o atributo AREA_KM2 (das Áreas Territoriais), que o GeoJSON da API de malhas do IBGE não fornece — por isso o geoftp, e não a API."
ibge_areas_territoriais,Áreas Territoriais 2025 (AR_BR_RG_UF_RGINT_RGI_MUN_2025.ods),IBGE,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/areas_territoriais/2025/AR_BR_RG_UF_RGINT_RGI_MUN_2025.ods,2026-09-20,ods,,,dados abertos (uso livre com citação da fonte),true,true,"[tema: territorio | resolução/escala: municipal (valor tabular, não espacial) | período: 2025 | script: (nenhum)] Fonte de CONFERÊNCIA, não de produção: usada uma vez para validar a área do município de forma independente da malha. Bagé (4301602) = 4.091,554 km², idêntico ao atributo AREA_KM2 da malha baixada. Sem script dedicado e sem cópia local versionada (consulta pontual); se virar insumo recorrente, criar script em scripts/download/ e registrar o sha256."
ibge_censo2000_agregado_setores,"Censo Demográfico 2000 — Dados do Universo, Agregado por Setores Censitários (RS)",IBGE,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2000/Dados_do_Universo/Agregado_por_Setores_Censitarios/Agregado_de_setores_2000_RS.zip,2026-09-20,zip,53869085,5c0d655a1dc8c87fc2bb80b4e76742330daf899f12251d4bd732e130198b158a,"dados públicos do IBGE — declaração literal na raiz dos dois hosts que serviram os arquivos, https://ftp.ibge.gov.br/ e https://geoftp.ibge.gov.br/ (HTTP 200, conferido em 2026-09-20): ""Todos os arquivos aqui disponíveis são públicos.""",true,true,"[tema: nao_espacial | resolução/escala: setor censitário (recorte RS; Bagé é selecionado na leitura) | período: Censo 2000 (arquivo republicado no FTP em 2016-08-17) | script: scripts/download/baixar_censo_ibge.py] sha256 é o do arquivo principal Agregado_de_setores_2000_RS.zip (53.869.085 bytes). A divulgação traz também PopMun_43_31.zip e PopMun_43_33.zip (totais oficiais por município) e a documentação Arquivo_AgreSetores_Completo_V2.doc — todos em data/raw/tabular/ibge/censo_2000/ (documentação em doc/), cada um com .json irmão. RESSALVA MEDIDA (corrigida em 2026-09-22, estudos/A03_censo/reconhecimento.md § 2): a soma dos setores fecha EXATAMENTE com o oficial comparando a mesma grandeza — população (Pessoa1 V1330) 118.767 = 118.767 (urbana 97.290, rural 21.477) e DPP (Basico Var01) 35.119 = 35.119. Var12 (117.893) é moradores em DPP, não população. TERRITÓRIO: 11 setores (distritos 10 e 12; 3.927 pessoas, 1.147 DPP) passaram a Aceguá em 2001 (Compatibilização_2000-2001_RS.xls); Bagé no território de 2001 = 114.840. Tabelas XLS lidas com xlrd. Ver docs/ressalvas_censo_bage.md. [Texto anterior, substituído em 2026-09-22: «RESSALVA MEDIDA (REVIA_BG): Var12 (moradores em domicílios particulares permanentes) soma 117.893 contra 118.767 oficiais, −874; a diferença é de RECORTE, não erro — o total oficial inclui domicílios improvisados e coletivos. Ver docs/ressalvas_censo_bage.md.»] Baixado da fonte oficial em 20/09/2026 pelo projeto REVIA_BG, navegando as listagens do FTP — nenhuma URL montada por adivinhação — e trazido por cópia (procedência em docs/procedencia/revia_bg_censo/). Desde 22/09/2026 é dado bruto em data/raw/ (tabelas em data/raw/tabular/ibge/censo_<ano>/, documentação em .../doc/, malhas em data/raw/vetor/ibge/censo_<ano>/), obtido direto do IBGE por scripts/download/baixar_censo_ibge.py a partir da lista fixa config/fontes_censo_ibge.yaml. A página formal de termos do IBGE (www.ibge.gov.br/acesso-informacao/acoes-e-programas/termos-de-uso.html) respondeu HTTP 403 (desafio Cloudflare) em 20/09/2026 e NÃO foi lida: a licença citada é a declaração do próprio servidor de download, não a dessa página."
ibge_censo2000_malha_setores,Censo Demográfico 2000 — malha de setores censitários (urbanos de Bagé + rurais do RS),IBGE,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2000/setor_urbano/rs/4301602/4301602.zip,2026-09-20,zip,13126,39480d0035683affc4df7c0206d8c2a8c39089bbecde2aaed8eef407b7d6f312,"dados públicos do IBGE — declaração literal na raiz dos dois hosts que serviram os arquivos, https://ftp.ibge.gov.br/ e https://geoftp.ibge.gov.br/ (HTTP 200, conferido em 2026-09-20): ""Todos os arquivos aqui disponíveis são públicos.""",true,true,"[tema: territorio | resolução/escala: setor censitário; urbana por município (127 setores em Bagé), rural só por UF (e500, 47 setores em Bagé) | período: Censo 2000 (malha urbana republicada 2016-06-02; rural e500 de 2003) | script: scripts/download/baixar_censo_ibge.py] sha256 é o do arquivo principal 4301602.zip (malha urbana de Bagé, 13.126 bytes). A malha rural vem em rs_setores_censitarios.zip (UF inteira, sha256 d9f491a2dddf3e20…). RESSALVA MEDIDA (REVIA_BG): a malha urbana de Bagé vem declarada em EPSG:32621 (UTM 21 NORTE) — erro de declaração no .prj para um município do hemisfério sul; a rural vem SEM CRS declarado; 7 das 127 geometrias urbanas são inválidas. CRS DECIDIDO em 2026-09-22 (responsável): malha urbana em SAD69 / UTM 21S (EPSG:29191), registrado no .json irmão; limitação conhecida: deslocamento residual de ~90–105 m em relação à malha de 2010; REGRA DE USO: 2000 só por município e distrito, nunca por setor (docs/ressalvas_censo_bage.md § 3). Malha rural: CRS DECIDIDO em 2026-09-22 (responsável), SAD69 geográfico (EPSG:4618), registrado no .json irmão; mesma regra de uso. [Texto anterior, substituído em 2026-09-22: «Decidir e registrar o CRS antes de qualquer medição métrica.»] Baixado da fonte oficial em 20/09/2026 pelo projeto REVIA_BG, navegando as listagens do FTP — nenhuma URL montada por adivinhação — e trazido por cópia (procedência em docs/procedencia/revia_bg_censo/). Desde 22/09/2026 é dado bruto em data/raw/ (tabelas em data/raw/tabular/ibge/censo_<ano>/, documentação em .../doc/, malhas em data/raw/vetor/ibge/censo_<ano>/), obtido direto do IBGE por scripts/download/baixar_censo_ibge.py a partir da lista fixa config/fontes_censo_ibge.yaml. A página formal de termos do IBGE (www.ibge.gov.br/acesso-informacao/acoes-e-programas/termos-de-uso.html) respondeu HTTP 403 (desafio Cloudflare) em 20/09/2026 e NÃO foi lida: a licença citada é a declaração do próprio servidor de download, não a dessa página."
ibge_censo2010_agregados_setores,"Censo Demográfico 2010 — Resultados do Universo, Agregados por Setores Censitários (RS)",IBGE,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Resultados_do_Universo/Agregados_por_Setores_Censitarios/RS_20260615.zip,2026-09-20,zip,137504353,952d751b5441416b164cd9129818c7d7c56853a4bfe827b928671679ca6fd93b,"dados públicos do IBGE — declaração literal na raiz dos dois hosts que serviram os arquivos, https://ftp.ibge.gov.br/ e https://geoftp.ibge.gov.br/ (HTTP 200, conferido em 2026-09-20): ""Todos os arquivos aqui disponíveis são públicos.""",true,true,"[tema: nao_espacial | resolução/escala: setor censitário (recorte RS; 164 setores em Bagé) | período: Censo 2010 (recorte RS reeditado em 2026-06-15) | script: scripts/download/baixar_censo_ibge.py] sha256 é o do arquivo principal RS_20260615.zip (137.504.353 bytes). A divulgação traz também rio_grande_do_sul.zip (totais oficiais por município, ODS) e a documentação Documentacao_Agregado_dos_Setores_2010_20231030.zip. RESSALVA MEDIDA (corrigida em 2026-09-22, estudos/A03_censo/reconhecimento.md § 2): a soma dos setores fecha EXATAMENTE com o oficial comparando a mesma grandeza — população (Domicilio02 V001) 116.794, DPP (Basico V001) 38.504 e moradores em DPP (Basico V002) 116.318, no município e em cada distrito; a soma SERVE como total municipal. Os 4 setores da malha sem linha na tabela (três sedes de distrito e um rural) só aparecem na descrição dos setores e no de/para 2010→2022, em nenhum arquivo de dados, e contribuem ZERO. Ver docs/ressalvas_censo_bage.md. [Texto anterior, substituído em 2026-09-22: «RESSALVA MEDIDA (REVIA_BG): a soma dos setores dá 116.318 contra 116.794 oficiais (−476, −0,408 %); 4 setores existem na malha e NÃO têm linha na tabela (três sedes de distrito e um rural) e não aparecem em nenhuma das 26 planilhas. Causa declarada EM ABERTO: a soma dos setores de 2010 NÃO serve como total municipal. Ver docs/ressalvas_censo_bage.md.»] Baixado da fonte oficial em 20/09/2026 pelo projeto REVIA_BG, navegando as listagens do FTP — nenhuma URL montada por adivinhação — e trazido por cópia (procedência em docs/procedencia/revia_bg_censo/). Desde 22/09/2026 é dado bruto em data/raw/ (tabelas em data/raw/tabular/ibge/censo_<ano>/, documentação em .../doc/, malhas em data/raw/vetor/ibge/censo_<ano>/), obtido direto do IBGE por scripts/download/baixar_censo_ibge.py a partir da lista fixa config/fontes_censo_ibge.yaml. A página formal de termos do IBGE (www.ibge.gov.br/acesso-informacao/acoes-e-programas/termos-de-uso.html) respondeu HTTP 403 (desafio Cloudflare) em 20/09/2026 e NÃO foi lida: a licença citada é a declaração do próprio servidor de download, não a dessa página."
ibge_censo2010_malha_setores,Censo Demográfico 2010 — malha de setores censitários (RS),IBGE,https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_de_setores_censitarios__divisoes_intramunicipais/censo_2010/setores_censitarios_shp/rs/rs_setores_censitarios.zip,2026-09-20,zip,12729964,c7f65e26bf0813a01795084391ca6211da499a6498b8e523d98390568414b3b0,"dados públicos do IBGE — declaração literal na raiz dos dois hosts que serviram os arquivos, https://ftp.ibge.gov.br/ e https://geoftp.ibge.gov.br/ (HTTP 200, conferido em 2026-09-20): ""Todos os arquivos aqui disponíveis são públicos.""",true,true,"[tema: territorio | resolução/escala: setor censitário, recorte RS (168 setores em Bagé: 132 urbanos, 36 rurais), EPSG:4674 | período: Censo 2010 (malha de 2012, republicada 2016-06-14) | script: scripts/download/baixar_censo_ibge.py] 12.729.964 bytes. EPSG:4674, 0 geometria inválida em Bagé. RESSALVA MEDIDA (REVIA_BG): 168 setores na malha contra 164 na tabela de agregados — os 4 sem linha na tabela são a mesma lacuna registrada em ibge_censo2010_agregados_setores. Baixado da fonte oficial em 20/09/2026 pelo projeto REVIA_BG, navegando as listagens do FTP — nenhuma URL montada por adivinhação — e trazido por cópia (procedência em docs/procedencia/revia_bg_censo/). Desde 22/09/2026 é dado bruto em data/raw/ (tabelas em data/raw/tabular/ibge/censo_<ano>/, documentação em .../doc/, malhas em data/raw/vetor/ibge/censo_<ano>/), obtido direto do IBGE por scripts/download/baixar_censo_ibge.py a partir da lista fixa config/fontes_censo_ibge.yaml. A página formal de termos do IBGE (www.ibge.gov.br/acesso-informacao/acoes-e-programas/termos-de-uso.html) respondeu HTTP 403 (desafio Cloudflare) em 20/09/2026 e NÃO foi lida: a licença citada é a declaração do próprio servidor de download, não a dessa página."
ibge_censo2022_agregados_setores,"Censo Demográfico 2022 — Agregados por Setores Censitários, Resultados do universo (BR)",IBGE,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/Agregados_por_Setor_csv/Agregados_por_setores_basico_BR_20260520.zip,2026-09-20,zip,15418417,ec04624286233d699ebe69c7b9625744a1cfdfc8352126f30245bdef5e9bdc63,"dados públicos do IBGE — declaração literal na raiz dos dois hosts que serviram os arquivos, https://ftp.ibge.gov.br/ e https://geoftp.ibge.gov.br/ (HTTP 200, conferido em 2026-09-20): ""Todos os arquivos aqui disponíveis são públicos.""",true,true,"[tema: nao_espacial | resolução/escala: setor censitário (199 setores em Bagé: 173 urbanos, 26 rurais); também por bairro — recorte BR, sem corte por UF | período: Censo 2022 (tema basico reeditado 2026-05-20; domicilio2 e 3 em 2025-04-17; demais 2024-11-12) | script: scripts/download/baixar_censo_ibge.py] sha256 é o do arquivo principal Agregados_por_setores_basico_BR_20260520.zip (15.418.417 bytes). A divulgação são 28 arquivos (13 temas por setor + 13 por bairro + 2 xlsx), 577.556.141 bytes, todos em data/raw/tabular/ibge/censo_2022/ com .json irmão; os agregados existem SÓ no recorte BR. CONFERE: a soma dos 199 setores de Bagé fecha EXATAMENTE com o total oficial do município, 117.938 (urbana 114.883 + rural 3.055, diferença 0). RESSALVA DE COMPARABILIDADE 2010→2022: só 141 dos 199 setores de 2022 (70,9 %) têm correspondência 1:1 com 2010; 21 setores de 2010 foram divididos, até 6 destinos. O geocódigo NÃO é identificador estável entre censos — série temporal só via o de/para Historico_formacao_Setores_Censitarios_2010_2022.xlsx (em data/raw/tabular/ibge/censo_2022/doc/) ou por recorte estável (bairros, município). Ver docs/ressalvas_censo_bage.md. Baixado da fonte oficial em 20/09/2026 pelo projeto REVIA_BG, navegando as listagens do FTP — nenhuma URL montada por adivinhação — e trazido por cópia (procedência em docs/procedencia/revia_bg_censo/). Desde 22/09/2026 é dado bruto em data/raw/ (tabelas em data/raw/tabular/ibge/censo_<ano>/, documentação em .../doc/, malhas em data/raw/vetor/ibge/censo_<ano>/), obtido direto do IBGE por scripts/download/baixar_censo_ibge.py a partir da lista fixa config/fontes_censo_ibge.yaml. A página formal de termos do IBGE (www.ibge.gov.br/acesso-informacao/acoes-e-programas/termos-de-uso.html) respondeu HTTP 403 (desafio Cloudflare) em 20/09/2026 e NÃO foi lida: a licença citada é a declaração do próprio servidor de download, não a dessa página."
ibge_censo2022_malha_setores,Censo Demográfico 2022 — malha de setores censitários com atributos (RS),IBGE,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/malha_com_atributos/setores/gpkg/UF/RS/RS_setores_CD2022.gpkg,2026-09-20,gpkg,57962496,8d6c46bbc8d0690d85dfc10041e0e89ea23615b1c20ffc3cb4ab677d9536a943,"dados públicos do IBGE — declaração literal na raiz dos dois hosts que serviram os arquivos, https://ftp.ibge.gov.br/ e https://geoftp.ibge.gov.br/ (HTTP 200, conferido em 2026-09-20): ""Todos os arquivos aqui disponíveis são públicos.""",true,true,"[tema: territorio | resolução/escala: setor censitário, recorte RS (199 setores em Bagé), EPSG:4674 | período: Censo 2022 (malha divulgada 2024-11-13) | script: scripts/download/baixar_censo_ibge.py] 57.962.496 bytes. RESSALVA MEDIDA (REVIA_BG): a malha e a tabela de agregados têm exatamente os mesmos 199 códigos em Bagé (0 só na tabela, 0 só na malha); 0 geometria inválida e 0 nula. A malha territorial do geoftp (sha256 3816950f00561620…, sem os atributos do Censo) é a fonte ibge_malha_setores_2022, em data/raw/vetor/ibge/censo_2022/ (a cópia antiga vinda do REVIA_BG foi aposentada em 2026-09-22; rastro em docs/procedencia/revia_bg_censo/2022/malha/geoftp_malha_territorial/): em Bagé as duas têm geometria IDÊNTICA (diferença simétrica 0) e diferem só em colunas (37 × 30). Baixado da fonte oficial em 20/09/2026 pelo projeto REVIA_BG, navegando as listagens do FTP — nenhuma URL montada por adivinhação — e trazido por cópia (procedência em docs/procedencia/revia_bg_censo/). Desde 22/09/2026 é dado bruto em data/raw/ (tabelas em data/raw/tabular/ibge/censo_<ano>/, documentação em .../doc/, malhas em data/raw/vetor/ibge/censo_<ano>/), obtido direto do IBGE por scripts/download/baixar_censo_ibge.py a partir da lista fixa config/fontes_censo_ibge.yaml. A página formal de termos do IBGE (www.ibge.gov.br/acesso-informacao/acoes-e-programas/termos-de-uso.html) respondeu HTTP 403 (desafio Cloudflare) em 20/09/2026 e NÃO foi lida: a licença citada é a declaração do próprio servidor de download, não a dessa página."
ibge_censo2022_malha_bairros,Censo Demográfico 2022 — malha de bairros com atributos (RS),IBGE,https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Agregados_por_Setores_Censitarios/malha_com_atributos/bairros/gpkg/UF/RS/RS_bairros_CD2022.gpkg,2026-09-20,gpkg,4214784,048f32a11053936630e473bc5d7fd4d00187eb99b0795bd2f1a3b0d832a5f137,"dados públicos do IBGE — declaração literal na raiz dos dois hosts que serviram os arquivos, https://ftp.ibge.gov.br/ e https://geoftp.ibge.gov.br/ (HTTP 200, conferido em 2026-09-20): ""Todos os arquivos aqui disponíveis são públicos.""",true,true,"[tema: territorio | resolução/escala: bairro, recorte RS — NÃO cobre Bagé | período: Censo 2022 (malha divulgada 2024-11-13) | script: scripts/download/baixar_censo_ibge.py] 4.214.784 bytes. RESSALVA MEDIDA (REVIA_BG), decisiva para esta fonte: Bagé NÃO TEM BAIRROS na divulgação do Censo 2022. Medido por CD_MUN, NM_MUN e NM_BAIRRO dos 199 setores — 162 dos 497 municípios do RS têm bairro e Bagé não é um deles; os 199 setores têm NM_BAIRRO vazio. Controle negativo em Porto Alegre, que tem 99 bairros. Guardada para o RS e como controle; para bairros de Bagé, usar a camada própria do REVIA_BG (DN-B1), não esta. Baixado da fonte oficial em 20/09/2026 pelo projeto REVIA_BG, navegando as listagens do FTP — nenhuma URL montada por adivinhação — e trazido por cópia (procedência em docs/procedencia/revia_bg_censo/). Desde 22/09/2026 é dado bruto em data/raw/ (tabelas em data/raw/tabular/ibge/censo_<ano>/, documentação em .../doc/, malhas em data/raw/vetor/ibge/censo_<ano>/), obtido direto do IBGE por scripts/download/baixar_censo_ibge.py a partir da lista fixa config/fontes_censo_ibge.yaml. A página formal de termos do IBGE (www.ibge.gov.br/acesso-informacao/acoes-e-programas/termos-de-uso.html) respondeu HTTP 403 (desafio Cloudflare) em 20/09/2026 e NÃO foi lida: a licença citada é a declaração do próprio servidor de download, não a dessa página."
ibge_cnefe2022,"CNEFE 2022 — Cadastro Nacional de Endereços para Fins Estatísticos, município de Bagé",IBGE,https://ftp.ibge.gov.br/Cadastro_Nacional_de_Enderecos_para_Fins_Estatisticos/Censo_Demografico_2022/Arquivos_CNEFE/CSV/Municipio/43_RS/4301602_BAGE.zip,2026-09-20,zip,1343601,3cb40d650571397ae6b6ba13c44aa9d09302408c1c3283994f468572635f278d,"dados públicos do IBGE — declaração literal na raiz dos dois hosts que serviram os arquivos, https://ftp.ibge.gov.br/ e https://geoftp.ibge.gov.br/ (HTTP 200, conferido em 2026-09-20): ""Todos os arquivos aqui disponíveis são públicos.""",true,true,"[tema: urbano | resolução/escala: endereço (62.782 endereços em Bagé, 34 campos) | período: Censo 2022 (arquivo de 2024-05-20) | script: scripts/download/baixar_censo_ibge.py] 1.343.601 bytes; dicionário em Dicionario_CNEFE_Censo_2022.xls (sha256 7b3684a709cd28a5…). MEDIDO (REVIA_BG): 62.782 endereços, 100 % com coordenada; 93,84 % dentro da mancha urbana v2.3. Espécies: 53.629 domicílios particulares, 87 coletivos, 1.427 agropecuários, 122 de ensino, 238 de saúde, 6.092 outras finalidades, 931 em construção, 256 religiosos. As espécies 1 e 2 coincidem EXATAMENTE com v0003 e v0004 do agregado por setores — conferência independente entre dois produtos do mesmo Censo. É dado de endereço: publicar derivado no geoportal exige decidir antes o nível de agregação. Baixado da fonte oficial em 20/09/2026 pelo projeto REVIA_BG, navegando as listagens do FTP — nenhuma URL montada por adivinhação — e trazido por cópia (procedência em docs/procedencia/revia_bg_censo/). Desde 22/09/2026 é dado bruto em data/raw/ (tabelas em data/raw/tabular/ibge/censo_<ano>/, documentação em .../doc/, malhas em data/raw/vetor/ibge/censo_<ano>/), obtido direto do IBGE por scripts/download/baixar_censo_ibge.py a partir da lista fixa config/fontes_censo_ibge.yaml. A página formal de termos do IBGE (www.ibge.gov.br/acesso-informacao/acoes-e-programas/termos-de-uso.html) respondeu HTTP 403 (desafio Cloudflare) em 20/09/2026 e NÃO foi lida: a licença citada é a declaração do próprio servidor de download, não a dessa página."
